SMILEScurated,Solubility
CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-3.616127121
O=C1NC2=CC=CC3=CC=CC1=C23,-3.254767098
ClC1=CC=C(C=O)C=C1,-2.177077944
CC(C1=CC=CC=C1)C1=CC(C(C)C2=CC=CC=C2)=C(O)C(=C1)C([O-])=O,-3.924409095
C(C1CO1)N(CC1CO1)C1=CC=C(CC2=CC=C(C=C2)N(CC2CO2)CC2CO2)C=C1,-4.662064583
CC1=CC=CC(C=C)=C1,-3.123150304
CCC1CCC(CCC([O-])=O)C1,-3.286116314
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-2.664548539
FC1=CC=C(C=C1)C(=O)C1=CC=C(F)C=C1,-4.396652185
O=C(OCCCOCCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,-4.595502564
CN(C)C1=CC=C(C=O)C=C1,-2.28276885
CC(=O)OC(C)(C)CC1=CC=CC=C1,-2.394649969
CC1=CC=C(O)C(C)=C1,-1.980309796
CC(C)(C)C1=CC=C(OCC2CO2)C=C1,-3.43023888
COCCCCC(=O)C1=CC=C(C=C1)C(F)(F)F,-3.544059701
CC(C)=CCCC(C)=CCO,-2.320601166
CC(OC1=CC=C(Cl)C=C1C)C([O-])=O,-2.466030786
CCCCC(CC)COP([S-])(=S)OCC(C)C,-2.958195047
FC(F)(F)C1=CC=CC(Cl)=C1,-3.411513885
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.513468741
CC(C)CCCCCOC(=O)CCS,-4.4543817
CC(C)=C1CCC(C)=CC1,-4.287342935
O[Si]([O-])=O,-3.473139052
CC(=C)C([O-])=O,-2.363208098
CC[NH2+]CC(O)C1=CC=CC(O)=C1,-3.45410264
CCC(C)OP([S-])(=S)OC(C)CC(C)C,-2.990876868
ClCC1=CC=C(Cl)C=C1Cl,-3.512942193
CC1(C)C2CC1C(=C)CC2,-4.292313455
CCCCCCCCC=CCCCCCCCC([O-])=O,-4.809134189
CCCCCCCCCCCCOC(=O)C(C)O,-4.63414462
NO,-0.763033718
C=CC(=O)OCCOC1=CC=CC=C1,-2.563625713
OC1=CC=C(C2=CC=CC=C12)S([O-])(=O)=O,-2.641819273
[O-]C(=O)CCCCCCCCC=C,-3.552826145
C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,-4.057185148
CCC(CC1=CC=CC=C1)([NH+](C)C)C(=O)C1=CC=C(C=C1)N1CCOCC1,-4.793227892
CC(C)CCCCCCC1=CC=C(O)C=C1,-4.587250025
CC(=C)C1=CC(=CC=C1)C(C)=C,-4.451139225
[Mo],-4.203848464
CC(C)(C)CCCCCC(=O)OC=C,-4.581332511
CC1=CC=C(C=C1)C(C)(C)C,-4.472021768
[O-]C(=O)C1CCCCC1,-1.445031941
[O-]S(=O)(=O)OCCS(=O)(=O)C1=CC=CC(NC2=NC(Cl)=NC(NC3=CC(=CC4=C3C(=O)C(=NNC3=C(C5=CC=CC(=C5C=C3)S([O-])(=O)=O)S([O-])(=O)=O)C(=C4)S([O-])(=O)=O)S([O-])(=O)=O)=N2)=C1,-0.410897736
C(CCC[NH+]=CC=CC1=CC=CC=C1)CC[NH+]=CC=CC1=CC=CC=C1,-3.893739071
CC(C)(C)CC(C)(C)C1=CC(N2N=C3C=CC=CC3=N2)=C(O)C(CC2=C(O)C(=CC(=C2)C(C)(C)CC(C)(C)C)N2N=C3C=CC=CC3=N2)=C1,-7.973715535
CCN(CC[N+](C)(C)C)C1=CC=C(C=C1)N=NC1=CC=C(C=C1Cl)[N+]([O-])=O,-3.038699623
C1CN(CCO1)SC1=NC2=CC=CC=C2S1,-3.810962795
CC12OC1CC1CC2C1(C)C,-2.593688492
NC(=O)NC1=CC(NC2=NC(Cl)=NC(NC3=CC=CC(=C3)S(=O)(=O)CCOS([O-])(=O)=O)=N2)=CC=C1N=NC1=CC2=C(C=C(C=C2C=C1S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O,-0.426136485
CCCCCCCCCCCCNC1=NC(Cl)=NC(NC2=CC=C3C(=C2)C=C(C(=NNC2=CC=C(C=C2)N=NC2=CC=C(C=C2)S([O-])(=O)=O)C3=O)S([O-])(=O)=O)=N1,-3.358911212
CCCN(CCC)C(=O)SCC,-2.703174404
C(OCC1CCC(COCC2CO2)CC1)C1CO1,-1.835797234
CC(CC1=CC(C)=CC(=O)N1[O-])CC(C)(C)C,-3.905464204
OP([O-])([O-])=O,-4.141900896
O=[P+]1OC2=CC=CC=C2C2=CC=CC=C12,-1.779623135
C=COC(=O)C1=CC=CC=C1,-2.622959195
COC(=O)C1=CC=C(C=C1)C(C)(C)C,-3.739816376
CC1=CC=CC(CC(C)(C)CO)=C1,-2.826535469
CC(C)=CCCC(C)=CCOC(C)=O,-3.754953216
CC1(C)C2CC1C(CCO)=CC2,-2.695999804
CC1CC(=O)CC(C)(C)C1,-1.647141463
C=CC(=O)OCCOC1=CC=CC=C1C1=CC=CC=C1,-3.951518842
SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.123168748
CC1=CC(=CC(C)=C1O)C(C)(C)C1=CC(C)=C(O)C(C)=C1,-4.952868803
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,-5.47300058
CCOC(=O)CC(C)CC(C)(C)C,-3.823043168
O[Si]([O-])=O,-2.650086994
CCC1=CC=C(C)N=C1,-1.004260454
CC(C)C1CCC(C)CC1OC(=O)C(C)O,-2.979987205
