SMILES,LogS
CCCCC(CC)COP([S-])(=S)OCC(C)C,-2.958195047
O[Si]([O-])=O,-3.473139052
CCC(C)OP([S-])(=S)OC(C)CC(C)C,-2.990876868
[Mo],-4.203848464
OP([O-])([O-])=O,-4.141900896
O=[P+]1OC2=CC=CC=C2C2=CC=CC=C12,-1.779623135
O[Si]([O-])=O,-2.650086994
C[Si](C)(C)O[Si](C)(C)C,-4.909505216
S=[W]=S,-4.139133643
O[Si]([O-])=O,-6.6197116
CO[Si](CCCN=C=O)(OC)OC,-3.256981001
CCO[Si](CCCCl)(OCC)OCC,-3.32858345
CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCCC=CCCCCCCCC)OCC(O)COC(=O)CCCCCCCC=CCCCCCCCC,-5.345705158
CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC,-5.676541809
CC(CCN(CCC(C)CC(C)(C)C)C(=S)S[Zn]SC(=S)N(CCC(C)CC(C)(C)C)CCC(C)CC(C)(C)C)CC(C)(C)C,-6.102526939
BrCC1=CC=C(C=C1)C1=CC=CC=C1C#N,-6.656649109
O=[V]=O,-4.400250091
CCCCC(CC)C(=O)O[Co]OB(O[Co])O[Co](OC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,-1.825456144
O.O.[Mg++].[Ca++],-1.988356233
[Mg++],-2.402069338
O=[Ca],-1.768326879
O.O.[Ca++],-1.910729926
OP([O-])([O-])=O,-3.055986963
[O-][N+](=O)O[Bi](O[N+]([O-])=O)O[N+]([O-])=O,-2.642008137
O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Ba++],-8.744859544
O.O.O.[K+].[K+].[Ti+4],-5.583643126
CCCCC(CC)COP([S-])(=S)OCC(CC)CCCC,-4.928855971
CCCCBr,-2.197764187
[Co+3].CCN(CC)C1=CC2=[O+]C3=CC(=CC=C3C(C3=CC=CC=C3C([O-])=O)=C2C=C1)N(CC)CC.CC(C)OCCCNS(=O)(=O)C1=CC=C([O-])C(=C1)N=NC1=C(C)[N-]N(C1=O)C1=CC=CC=C1.CC(C)OCCCNS(=O)(=O)C1=CC=C([O-])C(=C1)N=NC1=C(C)[N-]N(C1=O)C1=CC=CC=C1,-3.235762244
CO[Si](CCCOC(=O)C(C)=C)(OC)OC,-3.477980722
OB(O)C1=CC=C(C=O)C=C1,-2.267384667
CCCC[Sn](CCCC)(CCCC)CCCC,-4.596065772
[Cd++],-4.111293422
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,-3.922851514
[O-]C(=O)C1=CC=CC=C1C1=C2C=C(I)C(=O)C(I)=C2OC2=C(I)C([O-])=C(I)C=C12,-1.099315041
O=[Pb],-3.502355132
OP([O-])([O-])=O,-4.605114666
[Cd++],-3.323633394
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,-2.778562332
[Zn++],-2.185828855
[Re],-0.475507957
OP([O-])([O-])=O,-3.468385388
BrC1=CC=C(Br)C(C=C)=C1,-4.578730408
O1[Pb]2O[Pb]1O[Pb]O2,-4.008053211
O.O.[Pb++].[Pb++].[Pb++].OC([O-])=O.OC([O-])=O,-5.547231918
[I-],1.08677602
OP([O-])([O-])=O,0.537602002
[O-]C(=O)CC(CP1(=O)OC2=CC=CC=C2C2=CC=CC=C12)C([O-])=O,-2.813509506
[O-][Mo]([O-])(=O)=O,-2.634320541
CO[Si](C)(OC)C=C,0.577623585
CO[Si](CCCOC(=O)C=C)(OC)OC,-4.606388779
O[B]O,-2.340733519
CO[Si](OC)(C1CCCC1)C1CCCC1,-4.632799679
[Cu+],-3.32353295
O[Mo++](O)(O)O,-1.672068062
OC1=C(I)C=C(Cl)C2=CC=CN=C12,-1.822256226
CC[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,-0.937218529
O[Si](O)(C1=CC=CC=C1)C1=CC=CC=C1,-2.733020622
[Lu+3],-4.918566536
CC(C)(C1=CC=CC=C1)C1=CC=C(OP2OCC3(CO2)COP(OC2=CC=C(C=C2C(C)(C)C2=CC=CC=C2)C(C)(C)C2=CC=CC=C2)OC3)C(=C1)C(C)(C)C1=CC=CC=C1,-7.231973426
CCCC[Sn](=O)CCCC,-4.794038183
CCCC[Sn++]CCCC.CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O,-5.113404326
[O-][Mo]([O-])(=O)=O,-3.703694345
CC(C)[Si](OC(=O)C=C)(C(C)C)C(C)C,-4.943737963
O=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,-2.877472795
[O-]P=O,0.123663372
BrCCCCBr,-2.790216782
CCOP(=O)(C(=O)C1=C(C)C=C(C)C=C1C)C1=CC=CC=C1,-3.956081947
FC(F)(F)Br,-2.667770969
CC(C)CCCCCOP([S-])(=S)OCCCCCC(C)C,-4.370701466
[Pb],-4.566123099
CO[SiH](CC1CCCCC1)OC,-3.095972537
[O-]C(=O)CCP([O-])(=O)C1=CC=CC=C1,-0.828305155
O=[Mo]=O,-3.739643636
O=[Te]=O,-3.715606233
[Ce+3],-5.066402363
[Nd+3],-5.108420439
[Gd+3],-5.015236372
CC1=CC(C)=C(C(=O)P(=O)(C2=CC=CC=C2)C2=CC=CC=C2)C(C)=C1,-5.010576791
O.O.O.O.O.[Ti+4].[Zr+4].[Pb++],-5.098222153
CCCCC(CC)COC(=O)CS[Sn](C)(SCC(=O)OCC(CC)CCCC)SCC(=O)OCC(CC)CCCC,-5.394292294
[Lu+3],-5.311038629
[Co++].CCC1CCC(CCC([O-])=O)C1.CCC1CCC(CCC([O-])=O)C1,-3.132383191
CC(C)CC(C)OP([S-])(=S)OC(C)C,-2.318974913
CC(C)COP(=O)(OCC(C)C)OCC(C)C,-3.002154647
CCCBr,-1.710756249
ClCCOP(=O)(OCCCl)OCC(CCl)(CCl)COP(=O)(OCCCl)OCCCl,-3.400175355
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I,-3.314476262
CCO[Si](CC(C)C)(OCC)OCC,-3.016846171
[AsH3],-2.573579366
[O-]C(=O)C1=CC=CC=C1C1=C2C=C(Br)C(=O)C=C2OC2=C1C=C(Br)C(=O)C2=C1[Hg]CC=C1,-4.593683066
O=[Zn],-4.448167715
[Sb+3],-5.023754804
[Zn++],-5.155347286
CCCCC(CC)COC(=O)CS[Sn](CCCC)(CCCC)SCC(=O)OCC(CC)CCCC,-5.394286712
[Gd],-4.798650645
O=[Cd],-4.786382933
O=[Zr],-4.87307926
CCCCCCCCCCCCCCCCOP([O-])([O-])=O,-3.260259354
COCCOCCO[Si](CCCOCC1CO1)(OCCOCCOC)OCCOCCOC,1.582313338
C[Si](C)(C)C,-3.653340518
CCCCCCCCP(O)([O-])=O,-3.014809552
[Pb],-3.049218023
ClCCCBr,-1.940151412
ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl,-4.376704974
[I-],1.07779604
CCCCNC(=O)OCC#CI,-3.203337363
CC(C)COP([S-])(=S)OCC(C)C,-2.519248335
CCOC(=O)CCSP(=S)(OC(C)C)OC(C)C,-4.274778498
CCCSP(=O)(OCC)OC1=CC=C(Br)C=C1Cl,-4.365622838
[O-][Se]([O-])=O,-4.079965434
O=[Si]=O,-3.602667578
[O-]P=O,-0.081304092
[I-],0.935222717
CCCCCCCC[Si](OC)(OC)OC,-4.246128199
S=[Cd],-4.080623481
CCOP(=O)(CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)OCC,-4.472808844
O[Si]([O-])=O,-3.004467174
O[Si]([O-])=O,-3.26592063
S=[Zn],-2.967623739
C[Si]1O[Si](C)O[Si](C)O[Si](C)O[Si](C)O1,0.52929557
CC(=C)O[Si](OC(C)=C)(OC(C)=C)C=C,0.645223339
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,0.652738306
C[Si](O)(O)O,0.878663433
CCC(C)=NO[Si](C)(ON=C(C)CC)ON=C(C)CC,-0.479234017
[Mg++],-4.469144878
NC1=CC=C(OP(=S)(OC2=CC=C(N)C=C2)OC2=CC=C(N)C=C2)C=C1,-5.309407137
[La+3],-5.395892116
[Nd+3],-5.035343004
[TeH2],-4.875401753
CCCCCCCC[Sn](Cl)(Cl)CCCCCCCC,-5.415041201
[Dy+3],-5.367585356
CC1(C)COP(=S)(OP2(=S)OCC(C)(C)CO2)OC1,-5.393383395
[Gd+3],-5.648400548
[Y],-4.834987719
[Pr+3],-5.905407865
OP([O-])=O,-5.253149755
CC(C)(C1=CC(Br)=C([O-])C(Br)=C1)C1=CC(Br)=C([O-])C(Br)=C1,-5.694106411
O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)=CC=C1,-5.738072007
FC1=CC=CC=C1C(=O)C1=CC(Cl)=CC=C1NC(=O)CBr,-5.569345786
[Ba++].CC1=CC=C(N=NC2=C(O)C(=CC3=CC=CC=C23)C([O-])=O)C(=C1)S([O-])(=O)=O,-5.735147106
[O-]C(=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1C1=C2C=C(Br)C(=O)C(Br)=C2OC2=C(Br)C([O-])=C(Br)C=C12,-6.490069011
[Bi+3],-5.777924822
O=[Y],-5.175698148
[Y+3],-5.508643208
CCCCCCCC(=O)SCCC[Si](OCC)(OCC)OCC,-5.832680461
CC(C)C1=CC=C(OP(=O)(OC2=CC=C(C=C2)C(C)C)OC2=CC=C(C=C2)C(C)C)C=C1,-6.137134395
CCCCCCCC[Sn](Cl)(Cl)Cl,-6.010780355
[Cu],-5.29793824
[Nd+3],-5.893768237
[Ti+4],-5.805457995
C[Si](C)(O[Si](C)(C)C=C)C=C,-5.954482552
CC(C)CCCCCCCOP(OCCCCCCCC(C)C)OC1=CC=CC=C1,-6.382029914
O=[Ti],-5.961394278
[O-]C(=O)C1=CC=CC=C1C1=C2C=C(Br)C(=O)C(Br)=C2OC2=C(Br)C([O-])=C(Br)C=C12,-7.143562702
CCCCCCCC[Sn](=O)CCCCCCCC,-6.478515993
CN1C(=O)C=C2C3=CC=CC=C3C(=O)C3=C(Br)C=CC1=C23,-6.680445321
[La+3],-6.670353837
[Hg],-6.554121251
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,-6.953686491
[Zr+4].[Zr+4].[Zr+4].OP([O-])([O-])=O.OP([O-])([O-])=O.OP([O-])([O-])=O.OP([O-])([O-])=O,-7.338158893
C[Si](O[Si](C)(C)C)O[Si](C)(C)C,-7.044345696
[Zr+4],-7.706047479
OCCOC(=O)CC(CP1(=O)OC2=CC=CC=C2C2=CC=CC=C12)C(=O)OCCO,-4.461779562
O=[V](=O)O[V](=O)=O,-2.303614127
OP([O-])([O-])=O,-1.350363781
CCCCCCCCCCCCOP([O-])([O-])=O,-3.784486057
[Al+3],-4.199879315
[O-]C(=O)C1=CC=CC=C1C1=C2C=C(Br)C(=O)C(Br)=C2OC2=C(Br)C([O-])=C(Br)C=C12,-0.840017595
COC(C)COC(C)COCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)O[Si](C)(C)C,-6.287739939
[Mo],-1.170241174
CC1=CC(=C(OP2OCC3(CO2)COP(OC2=C(C=C(C)C=C2C(C)(C)C)C(C)(C)C)OC3)C(=C1)C(C)(C)C)C(C)(C)C,-7.801238331
OP([O-])([O-])=O,-4.246082833
CCCC[Sn++]CCCC.CCCCCCCCCCCC([O-])=O.CCCCCCCCCCCC([O-])=O,-5.645086143
CC[Pb](CC)(CC)CC,-5.412894457
[Ce+3],-5.863344894
C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,-6.2013011
C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,-7.312033591
CCCCC(CC)COC(=O)CS[Sn](C)(C)SCC(=O)OCC(CC)CCCC,-4.045663238
CCCC(C)C(CCC)C(C)CC1=CC=C(OP([S-])(=S)OC2=CC=C(CC(C)C(CCC)C(C)CCC)C=C2)C=C1,-5.415414768
[I-],-5.978750981
CCN(CCC#N)C1=CC=C(C=C1)N=NC1=C(Br)C=C(C=C1Br)[N+]([O-])=O,-4.381248689
[O-][Mo]([O-])(=O)=O,-2.379760962
COC1=CC(N=NC2=C(Br)C=C(C=C2[N+]([O-])=O)[N+]([O-])=O)=C(NC(C)=O)C=C1N(CCOC(C)=O)CCOC(C)=O,-5.495120243
[O-]C(=O)C=CC([O-])=O.CCCC[Sn++]CCCC,-4.540328223
CC(=C)C(=O)O[Zn]O,-4.223960359
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,-5.661813632
B12B3B4B1C234,-4.742403021
[O-][N+](=O)C1=CC=C(OP(=S)(OC2=CC=C(C=C2)[N+]([O-])=O)OC2=CC=C(C=C2)[N+]([O-])=O)C=C1,-5.678834198
[In+3],-5.443471086
CCCCCCCCCCCCCCCC[Si](OC)(OC)OC,-5.539863641
O.O.[K+].[Fe+3],-5.103601915
[Ti],-5.048911582
OP([O-])(=O)OP([O-])([O-])=O,-5.392552751
ICC1CCC(CI)CC1,-5.748197572
[Zr],-5.35804912
C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,-5.936026172
N12[Si]34N5[Si]11N3[Si]25N41,-5.669893078
OP([O-])(=O)OP([O-])([O-])=O,-5.998459357
[Ni++].CCCC[NH3+].CC(C)(C)CC(C)(C)C1=CC=C(O)C(SC2=CC(=CC=C2O)C(C)(C)CC(C)(C)C)=C1,-6.446040594
O=C=NC1=CC=C(OP(=S)(OC2=CC=C(C=C2)N=C=O)OC2=CC=C(C=C2)N=C=O)C=C1,-6.491719256
CCCCCCCC[Si](OCC)(OCC)OCC,-6.327740788
[Mg++],-6.578940476
CC1=CC(C)=C(C(=O)P(=O)(C(=O)C2=C(C)C=C(C)C=C2C)C2=CC=CC=C2)C(C)=C1,-6.621667442
O.O.O.O.O.[Al+3].[Al+3].[Ca++].[Ca++],-6.330647093
CO[Si](OC)(C(C)C)C(C)C,-6.246331133
[Ti++],-5.697952564
[Ti+4],-6.301101648
O.O.O.O.O.[Fe+3].[Fe+3].[Sr++].[Sr++],-6.661487316
[Zr++],-6.066512278
ClC1=CC=C(NC(=O)CBr)C(=C1)C(=O)C1=CC=CC=C1Cl,-6.888808288
O.O.O.O.O.O.O.[Mg++].[Mg++].[Nb+5].[Nb+5],-6.840626685
O=P(OCC1=CC=CC=C1)(OCC1=CC=CC=C1)OP(=O)(OCC1=CC=CC=C1)OCC1=CC=CC=C1,-7.254042677
CCCCCCCCCCCCCCCCCC(=O)O[Al](O)OC(=O)C1=CC=CC=C1,-7.253899898
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,-7.397033995
[NH4+].[Fe++].[Fe+3].C#N.C#N.C#N.C#N.C#N.C#N,-7.155088449
CC1=CC(OP(=O)(OC2=CC(C)=CC(C)=C2)OC2=CC(C)=CC(C)=C2)=CC(C)=C1,-7.312230264
[Hf],-7.172432644
O.O.[Hf+4],-7.244046096
O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=C(C=C1)C1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)C=C1,-7.813287357
OB(O)O,-6.93344173
B#N,-6.394784279
[Ti+4].C1C=CC=C1.C1C=CC=C1.FC1=CC=C(N2C=CC=C2)C(F)=C1.FC1=CC=C(N2C=CC=C2)C(F)=C1,-8.125789392
CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,-8.85998044
[Li+].[Cl-],1.134397972
OP([O-])([O-])=O.CN(CCC#N)C1=CC=C(C=CC2=[N+](C)C3=CC=CC=C3C2(C)C)C=C1,-0.93040182
[Cr],-0.338416648
OOB=O,-0.823100201
OP([O-])([O-])=O,0.48599564
[Na+].[Na+].[Fe].NC1=CC=C(C=C1)[N+]([O-])=O.NC1=CC(=CC(=C1[O-])[N+]([O-])=O)[N+]([O-])=O.OC1=C2C(NN=C3C=CC(=O)C=C3[O-])=CC(=CC2=CC(=C1)S([O-])(=O)=O)S([O-])(=O)=O,-1.307546525
[F-].[F-].[Ni++],-0.383317077
[O-]S([O-])(=O)=O.OC[P+](CO)(CO)CO.OC[P+](CO)(CO)CO,1.9675127
CCCCNP(N)(N)=S,-0.773033917
NC1=NC(=O)N(C=C1)C1OC(COP([O-])([O-])=O)C(O)C1O,-1.198775352
OCC(CO)(CBr)CBr,-1.130401751
[Cl-].[Cl-].[Sn++],-0.027457269
OP(O)O,1.152409408
[Na+].[Na+].[Cu].OC1=CC(O)=CC=C1.NC1=CC=C(C(N)=C1)[N+]([O-])=O.COC1=CC=C(C=C1N)S([O-])(=O)=O,-1.504350196
[O-]P=O,-0.032644921
[Cr+3],-3.199631781
[Mo],-3.420275441
O.O.O.O.O.O.[Al+3].[Al+3].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O,-3.074227426
