ID,NAME,SMILES,SDi,Reference,EXTERNALID,CASRN,ARTICLEID,Temperature
CpId_1,m-aminoacetophenone,CC(=O)c1cccc(N)c1,0.0,Tetko et al. 2001,None,99-03-6,A64,25.0
CpId_2,ethyl butyrate,CCCC(=O)OCC,0.04476825326054169,Tetko et al. 2001,None,105-54-4,A64,25.0
CpId_3,"1,1-dichloroethane",CC(Cl)Cl,0.0943847733717915,Tetko et al. 2001,None,75-34-3,A64,25.0
CpId_4,4-methoxyacetanilide,COc1ccc(NC(C)=O)cc1,0.13900324508031153,Tetko et al. 2001,None,51-66-1,A64,25.0
CpId_7,1-chloro-2-bromoethane,ClCCBr,0.0010176770935157457,Tetko et al. 2001,None,107-04-0,A64,25.0
CpId_8,acetanilide,CC(=O)Nc1ccccc1,0.03895912776697692,Tetko et al. 2001,None,103-84-4,A64,25.0
CpId_11,methyl valerate,CCCCC(=O)OC,0.006412106604783724,Tetko et al. 2001,None,624-24-8,A64,25.0
CpId_12,nitroguanidine,NC(=[NH2+])N[N+](=O)[O-],0.002102719327782067,Tetko et al. 2001,None,556-88-7,A64,25.0
CpId_13,3-chloroaniline,Nc1cccc(Cl)c1,0.0015709162223930284,Tetko et al. 2001,None,108-42-9,A64,25.0
CpId_16,barbital,CCC1(CC)C(=O)NC(=O)NC1=O,0.3891341667047108,Tetko et al. 2001,None,57-44-3,A64,25.0
CpId_18,procaine,CC[NH+](CC)CCOC(=O)c1ccc(N)cc1,0.23461280481213767,Tetko et al. 2001,None,59-46-1,A64,25.0
CpId_19,2'-chloroacetanilide,CC(=O)Nc1ccccc1Cl,4.0824829046381805e-05,Tetko et al. 2001,None,533-17-5,A64,25.0
CpId_21,hydrocinnamic acid,O=C([O-])CCc1ccccc1,0.07510123960678804,Tetko et al. 2001,None,501-52-0,A64,25.0
CpId_23,"2,2-bipyridine",c1ccc(-c2ccccn2)nc1,0.00046521884251245335,Tetko et al. 2001,None,366-18-7,A64,25.0
CpId_28,thiophene-3-carboxylic acid,O=C([O-])c1ccsc1,0.0021239703387759402,Tetko et al. 2001,None,88-13-1,A64,25.0
CpId_30,"1,1,2-trichloroethane",ClCC(Cl)Cl,0.005476576383918019,Tetko et al. 2001,None,79-00-5,A64,25.0
CpId_31,p-methoxybenzaldehyde,COc1ccc(C=O)cc1,0.005733178292477347,Tetko et al. 2001,None,123-11-5,A64,25.0
CpId_32,bis-(2-chloroethyl)-sulfone,O=S(=O)(CCCl)CCCl,0.0015874507866387724,Tetko et al. 2001,None,471-03-4,A64,25.0
CpId_33,guanidinoacetic acid,NC(=[NH2+])NCC(=O)[O-],0.0010000000000000009,Tetko et al. 2001,None,352-97-6,A64,25.0
CpId_36,2-aminobenzoic acid,Nc1ccccc1C(=O)[O-],0.037798353611159886,Tetko et al. 2001,None,118-92-3,A64,25.0
CpId_37,Codeine,COc1ccc2c3c1OC1C(O)C=CC4C(C2)[NH+](C)CCC341,0.2528490986075818,Tetko et al. 2001,None,76-57-3,A64,25.0
CpId_39,"4,4-bipyridine",c1cc(-c2ccncc2)ccn1,0.0011109841197270535,Tetko et al. 2001,None,553-26-4,A64,25.0
CpId_42,Benzoic acid,O=C([O-])c1ccccc1,0.623235653711193,Tetko et al. 2001,None,65-85-0,A64,25.0
CpId_43,"d,l-mepivacaine",Cc1cccc(C)c1NC(=O)C1CCCC[NH+]1C,0.1561296965437938,Tetko et al. 2001,None,96-88-8,A64,25.0
CpId_44,7-methylthiopteridine,CSc1cnc2cncnc2n1,0.0,Tetko et al. 2001,None,204443-30-1,A64,25.0
CpId_45,"2,4-dichlorophenol",Oc1ccc(Cl)cc1Cl,0.0048847836299175775,Tetko et al. 2001,None,120-83-2,A64,25.0
CpId_47,"2,4-octadione",CCCCC(=O)CC(C)=O,0.0,Tetko et al. 2001,None,14090-87-0,A64,25.0
CpId_48,eugenol,C=CCc1ccc(O)c(OC)c1,0.09323015683166656,Tetko et al. 2001,None,97-53-0,A64,25.0
CpId_49,1-methyluric acid,Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O,0.0007229568912919716,Tetko et al. 2001,None,708-79-2,A64,25.0
CpId_50,3-methyl-4-chlorophenol,Cc1cc(O)ccc1Cl,0.03898335725482279,Tetko et al. 2001,None,59-50-7,A64,25.0
CpId_51,dioxacarb,CNC(=O)Oc1ccccc1C1OCCO1,0.0004484541349024076,Tetko et al. 2001,None,6988-21-2,A64,25.0
CpId_52,4-formylacetanilide,CC(=O)Nc1ccc(C=O)cc1,0.022360679774997817,Tetko et al. 2001,None,122-85-0,A64,25.0
CpId_53,methyl-4-aminobenzoate,COC(=O)c1ccc(N)cc1,0.19230184606498188,Tetko et al. 2001,None,619-45-4,A64,25.0
CpId_55,"1,2-dichloropropane",CC(Cl)CCl,0.006925067187800826,Tetko et al. 2001,None,78-87-5,A64,25.0
