SMILES,LogS
CC(=O)c1cccc(N)c1,-1.28
CCCC(=O)OCC,-1.28
CC(Cl)Cl,-1.29
COc1ccc(NC(C)=O)cc1,-1.3
ClCCBr,-1.32
CC(=O)Nc1ccccc1,-1.33
CCCCC(=O)OC,-1.36
Nc1cccc(Cl)c1,-1.37
CC[NH+](CC)CCOC(=O)c1ccc(N)cc1,-1.4
CC(=O)Nc1ccccc1Cl,-1.4
O=C([O-])CCc1ccccc1,-1.41
c1ccc(-c2ccccn2)nc1,-1.42
O=C([O-])c1ccsc1,-1.47
ClCC(Cl)Cl,-1.48
COc1ccc(C=O)cc1,-1.49
O=S(=O)(CCCl)CCCl,-1.5
NC(=[NH2+])NCC(=O)[O-],-1.51
Nc1ccccc1C(=O)[O-],-1.52
COc1ccc2c3c1OC1C(O)C=CC4C(C2)[NH+](C)CCC341,-1.52
c1cc(-c2ccncc2)ccn1,-1.54
Cc1cccc(C)c1NC(=O)C1CCCC[NH+]1C,-1.55
CSc1cnc2cncnc2n1,-1.55
Oc1ccc(Cl)cc1Cl,-1.55
C=CCc1ccc(O)c(OC)c1,-1.56
Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O,-1.56
Cc1cc(O)ccc1Cl,-1.57
CNC(=O)Oc1ccccc1C1OCCO1,-1.57
CC(=O)Nc1ccc(C=O)cc1,-1.58
COC(=O)c1ccc(N)cc1,-1.59
CC(Cl)CCl,-1.6
COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.6
O=C([O-])c1ccccc1C(F)(F)F,-1.6
CN(C)C(=O)Nc1ccccc1,-1.6
CC(=O)Nc1ccc(S(N)(=O)=O)cc1,-1.61
COc1ccc(CC2[NH2+]CC(O)C2OC(C)=O)cc1,-1.61
CNC(=O)ON=C(CSC)C(C)(C)C,-1.62
C=CCN(CC=C)C(=O)C(Cl)Cl,-1.62
ClCCCCl,-1.62
O=Cc1ccc2c(c1)OCO2,-1.63
C=C(Cl)Cl,-1.64
O=C1[N-]S(=O)(=O)c2ccccc21,-1.64
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.64
