SMILES,LogS
NC(=[NH2+])N[N+](=O)[O-],-1.37
CCC1(CC)C(=O)NC(=O)NC1=O,-1.39
O=C([O-])c1ccccc1,-1.55
CCCCC(=O)CC(C)=O,-1.56
CC(=O)CC(=O)CC(C)C,-1.6
O=C([O-])c1ccccc1O,-1.82
CCCC(CCC)C(=O)[O-],-1.86
COc1ccc2c(c1O)C13CC[NH+](C)C1(C=CC(=O)C3)CC2,-1.87
O=C([O-])CCCCCCCC(=O)[O-],-1.89
CCc1nnc([N-]S(=O)(=O)c2ccc(N)cc2)s1,-1.94
O=C([O-])C=Cc1c[nH]cn1,-1.96
Nc1ccccc1[N+](=O)[O-],-1.96
O=C([O-])c1ccccc1C(=O)[O-],-2.11
Nc1ncnc2[nH]cnc12,-2.12
CCCCc1c(C)nc(N(C)C)nc1O,-2.24
CC(=O)Nc1ccccc1O,-2.24
O=c1[n-]c(=O)[c-]([N+](=O)[O-])c(=O)[nH]1,-2.28
COC(=O)c1ccccc1O,-2.34
CCOC(=O)c1ccc(O)cc1,-2.35
S=c1ncc2nccnc2[nH]1,-2.36
Oc1ncnc2[nH]ncc12,-2.38
Cc1nnc([N-]S(=O)(=O)c2ccc(N)cc2)s1,-2.41
Cc1cnc(S)nc1O,-2.45
C[NH+](C)C1C([O-])=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,-2.52
Oc1cccc2ncccc12,-2.54
CCCCCCCCC(=O)[O-],-2.75
S=c1[nH]cnc2nccnc12,-2.77
Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,-2.82
Cc1ccnc([N-]S(=O)(=O)c2ccc(N)cc2)n1,-2.85
CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C([O-])C([NH+](C)C)C3C(O)C21,-2.87
C[NH+](C)C1C([O-])=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-2.88
Cc1noc([N-]S(=O)(=O)c2ccc(N)cc2)c1C,-2.91
O=C([O-])CCl,0.93
CCCCc1c(C)nc(NCC)nc1O,-3.02
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc([O-])cc(O)c12,-3.08
C[NH+](C)C1C([O-])=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-3.12
C[NH+](C)C1C([O-])=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,-3.14
O=C(Nc1ccccc1)Nc1ccccc1,-3.15
Sc1nc2ccccc2s1,-3.18
COc1ccc([N-]S(=O)(=O)c2ccc(N)cc2)nn1,-3.28
C=CCCCCCCCCC(=O)[O-],-3.4
Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1,-3.51
CC(C(=O)[O-])c1cccc(C(=O)c2ccccc2)c1,-3.7
NC(=O)NC1NC(=O)NC1=O,-1.6
CC(=O)CC(=O)C(C)(C)C,-1.63
O=c1ccc2ccccc2o1,-1.89
COc1ccccc1O,-1.96
O=c1[nH]cnc2nc[nH]c12,-2.29
Nc1ccc(Cc2ccc(N)cc2)cc1,-2.3
CNC(=O)Oc1cccc([NH+]=CN(C)C)c1,-2.34
CCC([NH3+])Cc1c[nH]c2ccccc12,-2.57
Nc1ccc(S(=O)(=O)[N-]c2ccccn2)cc1,-2.7
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,-2.78
O=C(c1ccccc1)C(O)c1ccccc1,-2.85
