SMILES,LogS
Ic1[nH]c(I)c(I)c1I,-3.46
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,-4.93
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,-3.48
ClCBr,-0.89
C1CCC([Sn](C2CCCCC2)C2CCCCC2)CC1,-5.59
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,-6.7
Brc1ccc(Oc2ccc(Br)cc2)cc1,-6.4
Brc1ccc(Oc2ccc(Br)cc2Br)cc1,-6.76
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,-7.51
Brc1ccc(Oc2ccc(Br)c(Br)c2)c(Br)c1,-7.43
Brc1ccc(Oc2ccc(Br)c(Br)c2)cc1Br,-7.91
Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,-7.97
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,-7.78
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,-7.15
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,-8.87
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,-8.87
Brc1cc(Br)c(Oc2c(Br)cc(Br)c(Br)c2Br)cc1Br,-8.68
CO[P+](O)(OC)C(O)C(Cl)(Cl)Cl,-0.22
Cc1cc(O)ccc1O[P+](O)(Oc1cc(O)ccc1C)Oc1c(C)cccc1O,-6.7
Cc1ccc(O[P+](O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,-6.01
CCO[P+](O)(OCC)OCC,0.43
CNC(=O)C=C(C)O[P+](O)(OC)OC,0.65
CCO[P+]([S-])(OCC)N1C(=O)c2ccccc2C1=O,-3.35
CCO[P+]([S-])(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64
CCO[P+]([S-])(OCC)ON=C(C#N)c1ccccc1,-4.86
CCOC(=O)CC(S[P+]([S-])(OC)OC)C(=O)OCC,-3.36
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,-5.66
CCO[P+]([S-])(OCC)Oc1ccc([N+](=O)[O-])cc1,-4.29
C[NH+](C)CC1C[NH2+]C2CCC(Br)CC12,-2.4352
[NH3+]C1CCC(Br)CC1C(=O)[O-],-3.2078
OC1CCC(I)CC1,-2.6565
O=C([O-])C1CC(Br)C(O)CC1O,-3.8561
O[P+]1(N(CCCl)CCCl)[NH2+]CCCO1,-0.815
O[P+]1(N(CCCl)CCCl)[NH2+]CCCCO1,-0.962
CCO[P+]([S-])(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.399
CCO[P+](O)(OCC)SCCSCC,-2.111
CCO[P+](S)(OCC)SCSC(C)(C)C,-4.284
CCCCO[P+](O)(OCCCC)OCCCC,-2.846
CCCCO[P+](O)(CCCC)CCCC,-1.717
O=[N+]([O-])C12CO[P+](O)(OC1)OC2,-0.813
CCOC(=O)CC(S[P+](O)(OC)OC)C(=O)OCC,-3.336
CO[P+]([S-])(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-4.297
CO[P+](O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-4.522
O=[N+]([O-])c1ccc(O[P+](O)(Oc2ccccc2)Oc2ccccc2)cc1,-4.959
CCO[P+](O)(OCC)Oc1ccc([N+](=O)[O-])cc1,-2.059
O=C([O-])CC[P+](O)(O)c1ccccc1,-3.078
O=C([O-])c1ccc([P+](O)(c2ccccc2)c2ccc(C(=O)[O-])cc2)cc1,-6.005
O=C([O-])c1ccc([P+](O)(O)c2ccccc2)cc1,-4.066
CCO[P+]([S-])(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,-6.237
CCO[P+](O)(Cc1ccc(-c2nc3ccccc3s2)cc1)OCC,-4.002
CCO[P+](O)(Cc1ccc(-c2nc3ccccc3s2)cc1)N1CCCC1=O,-3.728
CCCCO[P+](O)(O)OCCCC,-1.087
O=[N+]([O-])C(Br)(CO)CO,0.097
COC(C[Hg+])CNC(N)=O.[Cl-],-1.524
CCOP(=S)(CC)Sc1ccccc1,-4.159
COc1cc(N=Nc2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])c(NC(C)=O)cc1N(CCOC(C)=O)CCOC(C)=O,-8.08
CCOP(=S)(COC)SCCl,-3.592
CC(C)c1cccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)c1,-5.224
CC(C)CCCCCCCOP(=O)(Oc1ccccc1)Oc1ccccc1,-5.717
Brc1cc(Br)c(-c2cc(Br)c(Br)cc2Br)cc1Br,-7.756
CCCCCCCCCc1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,-5.769
O=C(O[Na])c1ccccc1O,-0.1075
CCCC[Sn](CCCC)(CCCC)OC(C)=O,-3.73
O=C([O-])CF.[Na+],1.0452
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Na+],0.119
C/C1=C2/[NH+]=C(/C=C3\[NH+]=C(/C(C)=C4/C(CCC(N)=O)C(C)(CC(N)=O)C(C)(C5N=C1C(C)(CCC(=O)NCC(C)OP(=O)([O-])OC1C(CO)OC(n6cnc7cc(C)c(C)cc76)C1O)C5CC(N)=O)N4[Co]C#N)C(C)(CC(N)=O)C3CCC(N)=O)C(C)(C)C2CCC(N)=O,-2.0355
CC(O)C(=O)O[Na],0.9505
C[As](C)(=O)[O-],1.1612
O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,-5.9626
O=P([O-])([O-])OC1C(OP(=O)([O-])[O-])C(OP(=O)([O-])[O-])C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)([O-])[O-],0.1804
[Br-].[Br-].c1cc[n+]2c(c1)-c1cccc[n+]1CC2,0.3133
COCC[Hg+].[Cl-],-0.771
C[As](=O)([O-])O,0.2622
CO[P+](OC)(OC)OC.[Cl-],0.322
CC(O)C(=O)O[Ag],-0.4702
CCC(=O)O[Na],0.7164
CNC(=S)[S-].[Na+],0.7473
CN(C)c1ccc(N=NS(=O)(=O)[O-])cc1.[Na+],-1.0991
O=CO[Na],0.8049
[NH3+]C(CCC(=O)[O-])C(=O)[O-].[Na+],0.3573
S=C([S-])NCCNC(=S)[S-].[Na+].[Na+],-0.1078
CCC(C)C1(CC)C(=O)N=C(O[Na])NC1=O,0.1528
C[OH+][As]([O-])[O-].[Na+].[Na+],0.3711
O=C(CCC(=O)O[Na])O[Na],0.0914
C#N.[K+],1.0436
O=C([O-])Cn1cc(I)c(=O)c(I)c1,-0.0511
O=C(O[Na])C(O)C(O)C(=O)O[K],0.3984
O=c1c(Br)cc(Br)cc(Br)c1[O-],-3.5911
F[P](F)(F)(F)(F)F.N#[N+]c1ccccc1,-1.4438
F[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,-5.4879
COC(CNC(=O)c1ccccc1OCC(=O)[O-])C[Hg]O.[Na+],-0.0051
C[Hg]NC(=N)NC#N,-1.1388
O=C(O[Na])C(O)C(O)C(O)C(O)CO,0.4321
O=C(O[Cu]OC(=O)C(O)C(O)C(O)C(O)CO)C(O)C(O)C(O)C(O)CO,-0.1798
O=C([O-])c1ccccc1.[Na+],0.5864
CC(=O)O[U](=O)(=O)OC(C)=O,-0.589
ClC=C[As](Cl)Cl,-2.6177
O=CO[Ba]OC=O,-0.0557
CC(=O)O[Ba]OC(C)=O,0.1948
CC(=O)O[Sr]OC(C)=O,0.1446
CCCCC(=O)O[Zn]OC(=O)CCCC,-1.2722
CC(=O)O[Zn]OC(C)=O,0.2179
O=CO[Zn]OC=O,-0.4755
O=C(O[K])C(=O)O[K],0.1773
O=C(O[K])OOC(=O)O[K],-0.4737
O=CO[K],0.9288
Cl[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,-5.586
CCCC[Sn](Cl)(Cl)CCCC,-3.5188
C[Sn](C)(Cl)Cl,-1.0407
O=S1(=O)CS(=O)(=O)O[Ca]O1,0.1255
O=C(CC(O)(CC(=O)O[K])C(=O)O[K])O[K],0.2962
O=C([O-])c1ccccc1C(=O)O[K],-0.3895
CC(=O)O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,-4.6575
CC[Pb](Cl)(CC)CC,-1.4691
CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O,-4.7672
Cl[Sn](Cl)(c1ccccc1)c1ccccc1,-3.8373
CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[Br-],-1.2948
CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,-5.2804
CCCC[Sn](Cl)(CCCC)CCCC,-4.2821
C[Pb](C)(C)Cl,-0.4727
CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,-1.6223
CCCCO[PH](=O)OCCCC,-1.4249
CCCC[Sn](F)(CCCC)CCCC,-4.7119
C[As](=O)([O-])O.[Na+],0.554
O=C([O-])CN(CP(=O)([O-])O)CP(=O)([O-])O,-0.0256
C[Hg]C#N,-0.0821
O=S(=O)([O-])c1cc(S(=O)(=O)[O-])c2c(N=Nc3ccc(S(=O)(=O)[O-])c4ccccc34)c(O)ccc2c1.[Na+].[Na+].[Na+],-0.8783
O=C([O-])CCCP(=O)([O-])O,0.5012
CC(C)c1ccc(Br)c(=O)c([O-])c1Br,-4.4665
O=c1ccccc(Br)c1[O-],-2.4352
O=c1ccc(Br)cc(Br)c1[O-],-3.5026
O=c1c(Br)cccc(Br)c1[O-],-3.5026
CC[NH2+]CC.[Br-],0.8123
O=P([O-])([O-])OP(=O)([O-])O.[Na+].[Na+].[Na+].[Na+],-0.5141
BrBr,-0.6773
O.O.O.O.O.O=S(=O)([O-])[O-].[Cu+2],-0.8922
O=[As]([O-])([O-])O,0.6187
O=C[Mn+](C=O)C=O,-3.8762
O=C([O-])CC[Ge](=O)O[Ge](=O)CCC(=O)[O-],-1.4932
O=[N+]([O-])c1ccc(ON=Cc2cc(Br)c([O-])c(Br)c2)c([N+](=O)[O-])c1,-6.6637
N[Pt](N)(Cl)Cl,-2.0741
CC(O)C(=O)O[Zn]OC(=O)C(C)O,-1.1638
Oc1ncncc1Br,-0.4471
O=C(CNCP(=O)([O-])O)O[Na],0.7188
Brc1cc(Br)c(Oc2cc(Br)c(Br)c(Br)c2)cc1Br,-8.1979
CC(C)NOC(=O)CNCP(=O)([O-])O,0.6629
CCO[P+](=O)[O-],-0.5038
O=C([O-])C[NH2+]CP(=O)([O-])[O-].[NH4+],0.8916
c1ncn([Sn](C2CCCCC2)(C2CCCCC2)C2CCCCC2)n1,-6.5605
CC(C)(C)c1cccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)c1,-5.0774
CCOP(=S)(OCC)Oc1cc(Cl)c(SC)cc1Cl,-6.0807
CP(=O)([O-])CCC([NH3+])C(=O)[O-].[NH4+],0.8397
CC(Br)(C(=O)[O-])C(Br)C(=O)[O-],-1.4411
CCOC(=O)c1nc(Br)[nH]c1C,-1.8069
COc1cc(N=Nc2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])c(NC(C)=O)c(N(CCOC(C)=O)CCOC(C)=O)c1,-7.4537
Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)C(O)C1O.[Na+].[Na+],0.55992
COc1cc(CC(C)[NH3+])c(OC)cc1I,0.992897
Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)C(OC(=O)c2ccc(C(=O)c3ccccc3)cc2)C1O,0.63389
[NH3+]C(CCCP(=O)([O-])O)C(=O)[O-],0.297594
Cc1cccc2c1OP(=O)(OCC1OC(N3CC(C=CBr)C(=O)NC3=O)CC1O)OC2,0.43063
O=C([O-])c1cc(I)cc(I)c1O.[Li+],0.514367
Brc1c(NC2=[NH+]CCN2)ccc2nccnc12,0.563173
CSc1nc(N)c2ncn(C3OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)C(O)C3O)c2n1,0.644368
Cc1cn(C2CC(O)C(COP(=O)([O-])[O-])O2)c(=O)[nH]c1=O,0.11045
COc1cc(CC(C)[NH3+])c(OC)cc1Br,0.735629
C[NH+]1C2CCC1C(C(=O)Oc1ccccc1)C(c1ccc(I)cc1)C2,0.361349
Nc1[nH]c(CCNC(=O)C(Cc2cc(Br)c(OCCC[NH3+])c(Br)c2)=NO)c[nH+]1,0.796062
C[N+]1(C)CCN(C[Si](O)(c2ccccc2)C2CCCCC2)CC1,0.023903
Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])O)C(O)C1O,0.325019
O=C([O-])C1CN(CCCP(=O)([O-])O)CC[NH2+]1,0.26271
COC1=C(Br)C(O)C2(C=C1Br)CC(C(=O)NCCCOc1c(Br)cc(CC(=NO)C(=O)NCCc3c[nH+]c(N)[nH]3)cc1Br)=NO2,0.017178
Nc1ncnc2c1ncn2C1OC(CO)C(OP(=O)([O-])[O-])C1O,-2.842
O=Cc1cc(Br)ccc1O,-3.303
COP(=S)(OC)Oc1ccc(S(C)=O)c(C)c1,-4.898
Nc1cccc(P(=O)([O-])[O-])c1,-1.605
Cc1cc(O)ccc1Br,-2.041
COP(=O)(OC)OC1=C(Cl)C2CC=CC12,-2.057
O=c1oc2ccccc2c([O-])c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,-8.139
CCOC(=O)C(N)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1,-4.605
CC(C)c1cc([O-])c(=O)ccc1Br,-3.67
c1ccc2c(c1)Oc1ccccc1[As]2O[As]1c2ccccc2Oc2ccccc21,-5.002
CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,-5.86
O=C(C(Br)Br)C(Br)(Br)Br,-6.656
CCC(=O)Nc1c(I)c(NC(=O)CC)c(I)c(C(=O)[O-])c1I,-2.808
[O-]c1c(Br)cc(Br)cc1Br,-3.674
Cc1c(I)c(=O)n(-c2ccccc2)n1C,-2.594
O=Ic1ccccc1,-2.432
O=C([O-])c1ccc(Br)o1,-1.939
O=C([O-])C(Br)C(Br)C(=O)[O-],-1.131
O=C([O-])c1c(Br)cc(Br)cc1Br,-2.011
Nc1[nH]c(=O)ncc1I,-2.397
FC(F)Br,0.582
O=P([O-])([O-])c1ccccc1,0.08
Nc1ccc(Br)cc1S(=O)(=O)[O-],-2.627
O=C([O-])C(Br)=CBr,-0.669
S=P([S-])(Oc1ccccc1)Oc1ccccc1,-0.071
COP(=O)(OC)SCCSC,-2.858
O=Cc1cc(I)cc(I)c1O,-4.096
CC(O)(P(=O)([O-])O)P(=O)([O-])O,0.525
CCOc1cc(N=Nc2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])c(NC(C)=O)cc1N(CCOC(C)=O)CCOC(C)=O,-8.09
O=C1C([O-])=C(Br)C(=O)C([O-])=C1Br,-2.313
O=P([O-])(Oc1ccc2ccccc2c1)Oc1ccc2ccccc2c1,-2.942
O=P([O-])(O)CN(CP(=O)([O-])O)CP(=O)([O-])O,0.524
CCS(=O)(=O)C(C)Br,-0.461
S=P(N1CCOCC1)(N1CCOCC1)N1CCOCC1,-1.999
CCCCC(Br)C(=O)NC(N)=O,-2.856
CC(Br)Br,-1.18
CCS(=O)(=O)CCBr,-0.439
Nc1ccc(O)c2c1C(=O)c1c(O)cc(Br)c(N)c1C2=O,-10.772
O=C(NN=CC=Cc1ccc([N+](=O)[O-])o1)c1ccc(Br)o1,-5.072
O=S(=O)([O-])c1cc(Br)cc2cccnc12,-2.558
O=C([O-])CCC(=O)NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-],-1.965
COC(=O)C(N)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1,-3.668
CC(Br)C(C)(Br)C(=O)[O-],-1.394
O=c1sc2ccccc2c([O-])c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,-6.141
Cc1nc(Br)[nH]c1[N+](=O)[O-],-1.791
[N]c1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)C(O)C1O,0.2948
[C]COc1cc(OP(=S)(O[C])O[C])nc(C[C])n1,-3.8638
[C]CCSP(=O)(OC[C])Oc1cnn(-c2ccc(Cl)cc2)c1,-4.0388
[C]COP(=S)(Oc1cnc(C([C])([C])[C])nc1)OC([C])[C],-4.7626
[N]c1ncnc2c1ncn2C1OC(COP(=O)([O-])[O-])C(O)C1O,-1.5406
[C]OP(=S)(O[C])SCc1nc([N])nc([N])n1,-3.069
[C]COP(=S)(OC[C])Oc1cnccn1,-2.338
[C]COP(=S)(OC[C])Oc1cc([C])nc(C([C])[C])n1,-3.8813
[C]N([C])P(=O)(N([C])[C])n1nc(-c2ccccc2)nc1[N],-3.0709
[C]COP(=S)(OC[C])Oc1nc(Cl)c(Cl)cc1Cl,-5.4956
[C]n1c(=O)c2n[se]nc2n([C])c1=O,-2.2994
[C]OP(=S)(O[C])Oc1nc(Cl)c(Cl)cc1Cl,-4.831
COC(O)C=C(C)O[PH](O)(OC)OC,0.4276
[C]COC(=O)c1cn2nc(OP(=S)(OC[C])OC[C])cc2nc1[C],-4.9489
[C]COP(=S)(OC[C])Oc1cnc2ccccc2n1,-4.1322
[C]COP(=S)(OC[C])Oc1cc(-c2ccccc2)on1,-5.2172
[C]COP(=S)(OC[C])Oc1cc([C])nc(N(C[C])C[C])n1,-4.9242
O=P([O-])(O)CN(CCCCCCN(CP(=O)([O-])O)CP(=O)([O-])O)CP(=O)([O-])O,-1.5161
[C]COP(=S)(OC[C])Oc1ncn(-c2ccccc2)n1,-4.00345
[C]CN(C[C])c1nc([C])cc(OP(=S)(O[C])O[C])n1,-4.34165
[C]COP(=S)(OC[C])Oc1nc(Cl)n(C([C])[C])n1,-3.48885
CC(C)(N=C([O-])C(Br)C(C)(C)C)c1ccccc1,-4.9455
[C]COP(=O)(Cc1ccc(-c2nc3ccccc3s2)cc1)OC[C],-4.0017
[C][Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1,-3.7665
[C]c1nc(C(F)(F)F)c(C([O-])=Nc2c(Br)cc(OC(F)(F)F)cc2Br)s1,-5.5186
[C]C([C])OC(=O)c1cc(-c2nn([C])c(C(F)(F)F)c2Br)c(F)cc1Cl,-6.9227
COC(=O)C1C(c2ccc(I)cc2)CC2CCC1[NH+]2C,-3.32
COc1ccccc1Br,-2.58
COc1ccc(Br)cc1,-3.02
COC(=O)C(C)=COP(=O)(OC)OC,0.428
CCCC(=O)OC(C)OP(=O)(OCC)OCC,-1.951
CCOP(=S)(OCC)Oc1ccc(SC)cc1,-4.9
CCCC(=O)OCOP(=O)(OCC)OCC,-1.138
Brc1ccc(Oc2ccccc2)cc1,-4.714
S=C=NCc1ccc(Br)cc1,-3.82
COc1cccc(Br)c1,-3.12
